pair,boot_mean_ARI,boot_std_ARI,boot_ci_lo,boot_ci_hi,one_sided_p,holm_adj_p,bh_adj_p,reject_Holm_at_0.05,reject_BH_at_0.05
KNN-SoftImpute,0.5092072888339312,0.0061361957003650425,0.4972842914502738,0.5213854567609887,0.06674400251921442,0.06674400251921442,0.06674400251921442,False,False
KNN-PMM,0.5449989644163608,0.006124704703326755,0.5335837158835025,0.5567096389415903,1.0125233984581428e-13,2.0250467969162855e-13,1.035535293877646e-13,True,True
KNN-DAE,0.5569757571833082,0.006007093279797582,0.544045930373361,0.5685173382400639,1e-300,4.5e-299,1.0465116279069767e-300,True,True
KNN-NMF,0.561246236589652,0.0064188501727567605,0.5488171522283769,0.5739996672098958,1e-300,4.5e-299,1.0465116279069767e-300,True,True
KNN-MICE,0.5630815584847108,0.006186504670680764,0.5516526917176823,0.5753898428863794,1e-300,4.5e-299,1.0465116279069767e-300,True,True
KNN-EM,0.5634665417085943,0.006276211511424671,0.5512022813247767,0.5755388131422018,1e-300,4.5e-299,1.0465116279069767e-300,True,True
KNN-VAE,0.5651207831151496,0.0060447226914332325,0.5534942143650097,0.5764965219307286,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-KNN,0.5909643680427402,0.006281396398061424,0.5785318686957459,0.6026499061656273,1e-300,4.5e-299,1.0465116279069767e-300,True,True
KNN-MissForest,0.6209837798799587,0.005985257450713023,0.608747012752556,0.6329498479169087,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-PMM,0.6443371708492063,0.005795244012077991,0.6332473504520213,0.6559587578580593,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-SoftImpute,0.6488932601191036,0.006004061250145229,0.637408093559416,0.6599404036893475,1e-300,4.5e-299,1.0465116279069767e-300,True,True
PMM-SoftImpute,0.6499254331076529,0.006064369363076563,0.639035191752166,0.6622820628711653,1e-300,4.5e-299,1.0465116279069767e-300,True,True
SoftImpute-NMF,0.6764079623888634,0.0060790694230328365,0.6650701597629606,0.6887743651028686,1e-300,4.5e-299,1.0465116279069767e-300,True,True
EM-SoftImpute,0.6791996023497375,0.005996020411035329,0.6672856999217571,0.6909826232306173,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-SoftImpute,0.688786758082334,0.005897043168399147,0.6767416670509384,0.6997018923579762,1e-300,4.5e-299,1.0465116279069767e-300,True,True
SoftImpute-DAE,0.6968077406320429,0.005781350087301271,0.6858740219031735,0.7074697320121862,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-NMF,0.7001416360715005,0.005855676080739743,0.6890582562030007,0.7110146480033174,1e-300,4.5e-299,1.0465116279069767e-300,True,True
SoftImpute-VAE,0.7032395273148215,0.005830292915701405,0.6918240207838914,0.7145910356384941,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-SoftImpute,0.7226120168356881,0.006040969079943973,0.7111326357296547,0.7341575456816312,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-NMF,0.7260751955608699,0.00567772198131197,0.7145467692903312,0.7368890979166332,1e-300,4.5e-299,1.0465116279069767e-300,True,True
NMF-VAE,0.7273978576007448,0.005798754379978957,0.7158655153143871,0.7385918025890174,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-PMM,0.7376901572530608,0.0057531145479719145,0.7263676245694636,0.7492672273354462,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-DAE,0.7389176721666362,0.0053334084279082275,0.7284080557500417,0.7490207092804526,1e-300,4.5e-299,1.0465116279069767e-300,True,True
PMM-VAE,0.7442224443942909,0.005515184868516998,0.7336697622660385,0.7553569386024034,1e-300,4.5e-299,1.0465116279069767e-300,True,True
NMF-DAE,0.7455522037775026,0.005652000311649464,0.7342526957202854,0.7566330912264739,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-NMF,0.7473391485650083,0.005732817787375799,0.7358622822010146,0.7582825386243128,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-MissForest,0.7477792700129805,0.005653659099966841,0.7367794902503476,0.7585014779542223,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-MissForest,0.7496657411301615,0.005577336222291309,0.7391784983075537,0.7606764928341491,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-PMM,0.7523600649181306,0.005448455680966818,0.7420483003231253,0.7633130479066637,1e-300,4.5e-299,1.0465116279069767e-300,True,True
EM-NMF,0.7545911480735936,0.0055966087895076,0.7436956723757717,0.7659024801523934,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-EM,0.7565375851250197,0.0054981583717084725,0.7455922522940776,0.7671497287735297,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-VAE,0.7573633933951562,0.005763107258183496,0.7462806873936807,0.7684744274108681,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-DAE,0.7641387905789807,0.005735310684883022,0.7526243517227049,0.7760480224665224,1e-300,4.5e-299,1.0465116279069767e-300,True,True
PMM-NMF,0.7646810570625407,0.005487274448548572,0.7541286848378458,0.7754518520769308,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-MICE,0.765565961375472,0.005481059003438434,0.7543163596075336,0.775885060216651,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MissForest-EM,0.7710382279516308,0.005437866065092928,0.7607406396417514,0.7819790537715716,1e-300,4.5e-299,1.0465116279069767e-300,True,True
PMM-EM,0.7744018262027343,0.005522063678017095,0.7632456468279804,0.7851136856756126,1e-300,4.5e-299,1.0465116279069767e-300,True,True
PMM-DAE,0.779553700900045,0.005212946459226701,0.769353726793673,0.7898810939301639,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-VAE,0.7799346649845015,0.005593143607521155,0.7690023144497586,0.7906627082028572,1e-300,4.5e-299,1.0465116279069767e-300,True,True
Mean-VAE,0.7818443158712025,0.005391419657146964,0.7713450091892977,0.7917703132636181,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-DAE,0.7966995355441643,0.005475959983790422,0.7851314341357114,0.8075217259178857,1e-300,4.5e-299,1.0465116279069767e-300,True,True
MICE-EM,0.8195349205976261,0.00516117617894221,0.8095697272591624,0.8292767221884727,1e-300,4.5e-299,1.0465116279069767e-300,True,True
EM-VAE,0.8283478480307604,0.005060118650301991,0.8184088950085564,0.8381025057386106,1e-300,4.5e-299,1.0465116279069767e-300,True,True
DAE-VAE,0.8634940397998175,0.004626649953214445,0.8541814466165646,0.8722491028135587,1e-300,4.5e-299,1.0465116279069767e-300,True,True
EM-DAE,0.8798312644537408,0.004298318830030497,0.8712503079673007,0.888145127724609,1e-300,4.5e-299,1.0465116279069767e-300,True,True
