,cluster,cluster_fixed
0,4,2
1,3,2
2,2,1
4,4,2
5,3,2
6,2,1
7,2,1
8,0,0
9,2,1
10,0,0
11,2,1
12,2,1
13,4,2
14,3,2
15,0,0
17,0,0
18,0,0
19,2,1
21,4,2
22,4,0
23,4,2
24,0,0
28,0,0
29,4,2
30,0,0
31,0,0
32,2,1
33,3,2
34,2,1
35,2,1
36,4,2
37,0,0
38,3,2
39,2,1
40,3,2
41,4,2
42,2,1
43,1,1
44,2,1
45,2,1
46,3,1
47,4,2
48,2,1
49,2,1
50,3,2
51,2,1
52,0,0
53,0,0
54,3,2
55,4,2
56,3,1
57,3,1
58,2,1
59,2,1
60,2,1
61,0,0
62,4,2
63,0,0
65,3,2
66,3,2
67,2,1
68,4,2
69,4,2
70,2,1
71,2,1
72,2,1
73,3,2
74,2,1
75,2,1
76,2,1
77,3,2
78,2,1
79,2,1
80,2,1
81,2,1
82,0,0
83,0,0
85,2,1
86,3,2
87,1,1
88,0,0
90,3,2
91,0,0
92,4,2
93,3,2
94,0,0
95,3,1
96,2,1
97,2,1
99,4,2
100,2,1
101,2,1
102,2,1
103,2,1
104,3,2
105,2,1
106,2,1
107,2,1
108,2,1
109,2,1
111,4,2
112,0,0
113,4,2
114,3,2
116,2,1
117,4,2
118,0,0
119,3,2
120,1,1
121,1,1
122,2,1
123,2,1
124,3,2
125,2,1
126,1,1
127,3,2
128,2,1
129,3,2
130,3,2
131,2,1
132,2,1
133,2,1
134,4,2
135,2,1
136,2,1
137,3,2
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,4,2
149,4,2
150,4,2
151,1,1
152,4,2
153,4,2
154,0,0
155,0,0
156,4,2
157,4,2
158,4,2
159,3,2
160,3,2
161,3,2
162,3,2
163,4,2
165,4,2
168,2,1
169,2,1
170,3,2
171,2,1
172,0,0
173,0,0
174,4,2
175,3,1
176,3,1
177,4,2
178,2,1
179,2,1
180,3,2
181,2,1
182,4,2
183,3,2
184,2,1
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
194,0,0
195,4,2
196,3,2
197,3,1
198,2,1
199,3,1
201,0,0
202,0,0
203,0,0
204,4,2
205,0,0
206,2,1
207,3,2
208,0,0
211,0,0
212,0,0
213,0,0
216,0,0
218,0,0
219,3,2
220,3,2
221,0,0
222,3,2
223,4,2
224,2,1
225,4,2
226,3,2
227,4,2
228,0,0
229,3,2
230,1,1
231,1,1
232,3,2
233,2,1
235,4,2
236,4,2
239,4,2
240,3,2
241,3,2
242,3,2
243,4,2
244,4,2
245,4,2
246,3,2
247,4,2
248,2,1
249,4,2
250,0,0
251,2,1
252,2,1
253,2,1
254,2,1
255,2,1
256,3,2
257,3,2
258,3,2
259,4,2
260,0,0
261,1,1
262,2,1
263,2,1
264,2,1
265,2,1
266,2,1
268,2,1
269,2,1
270,2,1
271,3,1
272,0,0
273,0,0
274,0,0
275,4,2
276,3,2
277,3,2
278,2,1
279,0,0
280,0,0
281,0,0
283,2,1
284,0,0
285,0,0
286,0,0
287,2,1
288,0,0
290,4,2
291,0,0
292,2,1
293,2,1
294,3,2
295,2,1
296,2,1
297,0,0
298,0,0
300,0,0
301,3,2
302,0,0
303,0,0
304,2,1
307,2,1
308,2,1
309,2,1
310,2,1
311,3,2
312,4,2
313,3,2
314,2,1
316,3,2
317,4,2
318,4,2
319,4,2
320,3,2
322,3,1
323,2,1
324,1,1
326,4,2
327,4,2
328,4,2
329,2,1
331,0,0
332,2,1
333,0,0
334,3,2
335,0,0
338,4,2
339,4,2
340,2,1
341,4,2
342,3,2
343,2,1
344,0,0
345,4,2
346,0,0
347,4,2
348,4,2
349,0,0
350,2,1
351,3,1
352,3,1
353,2,1
354,0,0
355,0,0
356,3,2
357,3,2
358,0,0
359,4,2
360,3,2
361,4,2
362,3,2
