,cluster,cluster_fixed
0,2,2
1,3,2
2,1,1
4,2,2
5,3,2
6,1,1
7,1,1
8,0,0
9,1,1
10,0,0
11,1,1
12,1,1
13,2,2
14,3,2
15,0,0
17,0,0
18,0,0
19,3,1
21,2,2
22,2,0
23,2,2
24,0,0
28,0,0
29,2,2
30,0,0
31,0,0
32,1,1
33,3,2
34,3,1
35,1,1
36,2,2
37,0,0
38,3,2
39,1,1
40,3,2
41,2,2
42,1,1
43,1,1
44,1,1
45,1,1
46,3,1
47,2,2
48,1,1
49,1,1
50,3,2
51,1,1
52,0,0
53,0,0
54,3,2
55,1,1
56,3,1
57,3,1
58,1,1
59,1,1
60,1,1
61,0,0
62,2,2
63,0,0
65,3,2
66,3,2
67,1,1
68,3,2
69,2,2
70,3,1
71,1,1
72,1,1
73,3,2
74,1,1
75,1,1
76,1,1
77,3,2
78,1,1
79,1,1
80,1,1
81,1,1
82,0,0
83,0,0
85,1,1
86,3,2
87,1,1
88,0,0
90,1,1
91,0,0
92,2,2
93,3,2
94,0,0
95,3,1
96,1,1
97,1,1
99,2,2
100,1,1
101,1,1
102,1,1
103,1,1
104,3,2
105,1,1
106,1,1
107,1,1
108,1,1
109,2,2
111,3,2
112,0,0
113,2,2
114,3,2
116,1,1
117,2,2
118,0,0
119,3,2
120,1,1
121,1,1
122,1,1
123,1,1
124,3,2
125,1,1
126,2,2
127,3,2
128,1,1
129,3,2
130,3,2
131,1,1
132,1,1
133,3,1
134,2,2
135,1,1
136,1,1
137,3,2
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,2,2
149,2,2
150,2,2
151,1,1
152,2,2
153,3,2
154,0,0
155,0,0
156,2,2
157,2,2
158,2,2
159,3,2
160,3,2
161,3,2
162,3,2
163,2,2
165,2,2
168,3,1
169,1,1
170,3,2
171,1,1
172,0,0
173,0,0
174,2,2
175,3,1
176,3,1
177,2,2
178,3,1
179,1,1
180,3,1
181,1,1
182,2,2
183,3,2
184,3,1
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
194,0,0
195,2,2
196,3,2
197,3,1
198,1,1
199,3,1
201,0,0
202,0,0
203,0,0
204,2,2
205,0,0
206,1,1
207,3,2
208,0,0
211,0,0
212,0,0
213,0,0
216,0,0
218,0,0
219,3,2
220,3,2
221,0,0
222,3,2
223,2,2
224,1,1
225,2,2
226,3,2
227,2,2
228,0,0
229,3,2
230,1,1
231,1,1
232,3,2
233,1,1
235,2,2
236,3,1
239,3,1
240,3,2
241,3,2
242,3,2
243,2,2
244,2,2
245,3,2
246,3,2
247,2,2
248,3,1
249,2,2
250,0,0
251,1,1
252,3,2
253,1,1
254,1,1
255,1,1
256,3,2
257,3,2
258,3,2
259,2,2
260,0,0
261,3,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
268,3,1
269,1,1
270,1,1
271,3,1
272,0,0
273,0,0
274,0,0
275,3,2
276,3,2
277,3,2
278,1,1
279,0,0
280,0,0
281,0,0
283,1,1
284,0,0
285,0,0
286,0,0
287,3,2
288,0,0
290,2,2
291,0,0
292,1,1
293,3,1
294,1,1
295,1,1
296,1,1
297,0,0
298,0,0
300,0,0
301,3,2
302,0,0
303,0,0
304,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,3,2
312,2,2
313,3,2
314,1,1
316,3,2
317,2,2
318,3,1
319,2,2
320,3,2
322,3,1
323,1,1
324,1,1
326,2,2
327,2,2
328,2,2
329,1,1
331,0,0
332,1,1
333,0,0
334,3,1
335,0,0
338,2,2
339,2,2
340,1,1
341,3,2
342,3,2
343,1,1
344,0,0
345,2,2
346,0,0
347,2,2
348,2,2
349,0,0
350,1,1
351,3,1
352,3,1
353,3,1
354,0,0
355,0,0
356,1,1
357,1,1
358,0,0
359,2,2
360,3,2
361,2,2
362,3,2
363,2,0
364,3,1
365,2,2
366,0,0
367,1,1
368,1,1
369,0,0
370,0,0
374,2,2
375,1,1
376,3,1
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,2,2
383,3,2
384,3,2
386,0,0
387,1,1
389,1,1
390,1,1
391,0,0
392,1,1
396,2,2
397,2,2
398,3,2
401,1,1
402,2,2
