,cluster,cluster_fixed
0,1,2
1,3,1
2,3,1
4,1,2
5,1,2
6,2,1
7,2,1
8,0,0
9,2,1
10,0,0
11,2,1
12,3,1
13,1,2
14,1,2
15,0,0
17,0,0
18,0,0
19,1,2
21,1,2
22,1,2
23,1,2
24,0,0
28,0,0
29,1,2
30,0,0
31,0,0
32,3,1
33,3,1
34,1,0
35,1,2
36,1,2
37,0,0
38,2,1
39,3,1
40,1,2
41,1,0
42,3,1
43,3,1
44,3,1
45,3,1
46,3,1
47,1,0
48,3,1
49,2,1
50,2,1
51,2,1
52,0,0
53,0,0
54,1,2
55,1,2
56,3,1
57,3,1
58,3,1
59,3,1
60,2,1
61,0,0
62,1,2
63,0,0
65,1,2
66,3,1
67,3,1
68,1,0
69,1,2
70,1,2
71,3,1
72,3,1
73,1,2
74,1,2
75,2,1
76,2,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,1
82,0,0
83,0,0
85,2,1
86,2,1
87,3,1
88,0,0
90,2,1
91,0,0
92,1,2
93,3,1
94,0,0
95,3,1
96,3,1
97,3,1
99,2,1
100,2,1
101,3,1
102,3,1
103,2,1
104,3,1
105,2,1
106,3,1
107,3,1
108,3,1
109,1,2
111,1,2
112,0,0
113,1,2
114,1,2
116,2,1
117,1,2
118,0,0
119,1,2
120,2,1
121,2,1
122,3,1
123,3,1
124,3,1
125,3,1
126,1,0
127,3,1
128,3,1
129,3,1
130,3,1
131,2,1
132,3,1
133,2,1
134,1,2
135,2,1
136,2,1
137,3,1
138,3,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,2,1
150,1,2
151,2,1
152,1,2
153,1,2
154,0,0
155,0,0
156,1,2
157,1,2
158,1,2
159,1,2
160,1,2
161,1,2
162,1,2
163,1,2
165,1,2
168,1,2
169,3,1
170,3,1
171,3,1
172,0,0
173,0,0
174,3,1
175,3,1
176,3,1
177,1,2
178,1,2
179,3,1
180,1,2
181,2,1
182,1,0
183,1,2
184,1,2
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
194,0,0
195,1,2
196,2,1
197,1,2
198,3,1
199,3,1
201,0,0
202,0,0
203,0,0
204,1,2
205,0,0
206,2,1
207,3,1
208,0,0
211,0,0
212,0,0
213,0,0
216,0,0
218,0,0
219,1,2
220,1,2
221,0,0
222,1,2
223,1,2
224,3,1
225,1,2
226,3,1
227,1,2
228,0,0
229,2,1
230,1,2
231,3,1
232,1,2
233,2,1
235,1,2
236,1,2
239,1,2
240,3,1
241,3,1
242,1,2
243,1,2
244,1,2
245,1,2
246,3,1
247,1,2
248,1,2
249,3,1
250,0,0
251,1,2
252,3,1
253,3,1
254,3,1
255,3,1
256,3,1
257,3,1
258,3,1
259,1,2
260,0,0
261,1,0
262,2,1
263,2,1
264,2,1
265,2,1
266,2,1
268,1,2
269,3,1
270,2,1
271,3,1
272,0,0
273,0,0
274,0,0
275,1,2
276,3,1
277,3,1
278,2,1
279,0,0
280,0,0
281,0,0
283,3,1
284,0,0
285,0,0
286,0,0
287,3,1
288,0,0
290,1,2
291,0,0
292,2,1
293,1,2
294,3,1
295,2,1
296,3,1
297,0,0
298,0,0
300,0,0
301,2,1
302,0,0
303,0,0
304,2,1
307,3,1
308,3,1
309,3,1
310,3,1
311,3,1
312,1,2
313,3,1
314,3,1
316,3,1
317,1,2
318,1,0
319,2,1
320,3,1
322,3,1
323,3,1
324,3,1
326,1,2
327,1,0
328,1,2
329,3,1
331,0,0
