,cluster,cluster_fixed
0,2,2
1,0,1
2,0,1
4,2,2
5,2,2
6,0,1
7,0,1
8,1,0
9,0,1
10,1,0
11,0,1
12,0,1
13,0,1
14,2,2
15,1,0
17,1,0
18,1,0
19,2,1
21,2,1
22,2,0
23,2,2
24,1,0
28,1,0
29,2,2
30,1,0
31,1,0
32,0,1
33,2,2
34,2,1
35,0,1
36,2,2
37,1,0
38,0,1
39,0,1
40,2,2
41,2,2
42,0,1
43,0,1
44,0,1
45,0,1
46,2,1
47,2,2
48,0,1
49,0,1
50,0,1
51,0,1
52,1,0
53,1,0
54,2,2
55,2,2
56,2,1
57,2,1
58,0,1
59,0,1
60,0,1
61,1,0
62,2,2
63,1,0
65,2,2
66,2,2
67,0,1
68,2,1
69,2,2
70,2,1
71,0,1
72,0,1
73,2,2
74,0,1
75,0,1
76,0,1
77,2,2
78,0,1
79,0,1
80,0,1
81,0,1
82,1,0
83,1,0
85,0,1
86,2,2
87,0,1
88,1,0
90,0,1
91,1,0
92,2,2
93,2,2
94,1,0
95,2,1
96,0,1
97,0,1
99,2,2
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
111,2,2
112,1,0
113,2,2
114,2,2
116,0,1
117,2,2
118,1,0
119,2,2
120,0,1
121,0,1
122,0,1
123,0,1
124,2,2
125,0,1
126,0,1
127,2,2
128,0,1
129,2,2
130,2,2
131,0,1
132,0,1
133,2,2
134,2,2
135,0,1
136,0,1
137,2,2
138,0,1
139,0,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,2,2
149,2,2
150,2,2
151,0,1
152,2,2
153,2,2
154,1,0
155,1,0
156,2,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
165,2,2
168,2,1
169,0,1
170,2,2
171,2,2
172,1,0
173,1,0
174,2,2
175,2,1
176,2,1
177,2,2
178,0,1
179,0,1
180,2,1
181,0,1
182,2,2
183,2,2
184,2,2
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
194,1,0
195,2,2
196,0,1
197,2,1
198,0,1
199,2,1
201,1,0
202,1,0
203,1,0
204,2,1
205,1,0
206,0,1
207,2,2
208,1,0
211,1,0
212,1,0
213,1,0
216,1,0
218,1,0
219,2,2
220,2,2
221,1,0
222,2,2
223,2,1
224,0,1
225,2,2
226,0,1
227,2,2
228,1,0
229,2,2
230,2,2
231,0,1
232,2,2
233,0,1
235,2,2
236,2,2
239,2,2
240,0,1
241,2,2
242,0,1
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,0,1
249,2,2
250,1,0
251,0,1
252,2,2
253,0,1
254,0,1
255,0,1
256,2,2
257,2,2
258,2,2
259,2,2
260,1,0
261,2,2
262,0,1
263,0,1
264,0,1
265,0,1
266,0,1
268,2,1
269,2,2
270,0,1
271,2,1
272,1,0
273,1,0
274,1,0
275,2,2
276,0,1
277,2,2
278,0,1
279,1,0
280,1,0
281,1,0
283,0,1
284,1,0
285,1,0
286,1,0
287,2,2
288,1,0
290,2,2
291,1,0
292,0,1
293,2,2
294,2,2
295,0,1
296,0,1
297,1,0
298,1,0
300,1,0
301,2,2
302,1,0
303,1,0
304,0,1
307,0,1
308,0,1
309,0,1
310,0,1
311,2,2
312,2,2
313,2,2
314,0,1
316,2,2
317,2,2
318,2,1
319,2,2
320,2,2
322,2,1
323,0,1
324,0,1
326,2,2
327,2,1
328,2,2
329,0,1
331,1,0
332,0,1
333,1,0
334,2,2
335,1,0
338,2,2
339,2,2
340,0,1
341,2,2
342,2,2
343,0,1
344,1,0
345,2,2
346,1,0
347,2,2
348,0,1
349,1,0
350,0,1
351,2,1
352,2,1
353,2,1
354,1,0
355,1,0
356,2,2
357,2,2
358,1,0
359,0,1
360,2,1
361,2,2
362,2,1
363,2,0
364,2,2
365,2,2
366,1,0
367,2,2
368,0,1
369,1,0
370,1,0
374,2,2
375,0,1
376,2,2
377,1,0
378,1,0
379,1,0
380,1,0
381,1,0
382,2,2
383,2,2
384,2,2
386,1,0
387,0,1
389,0,1
390,0,1
391,1,0
392,0,1
396,2,2
397,0,1
398,0,1
401,0,1
402,2,2
403,2,2
404,2,2
405,1,0
406,2,2
407,0,1
408,1,0
409,1,0
411,2,2
412,2,2
413,2,2
414,0,1
415,0,1
416,0,1
417,0,1
418,1,0
419,0,1
420,1,0
422,0,1
423,2,1
425,0,1
426,2,1
427,2,2
428,2,2
429,1,0
430,1,0
431,2,2
432,0,1
433,2,1
434,1,0
435,2,2
437,0,1
438,1,0
439,2,2
441,2,2
442,2,2
443,2,2
445,0,1
446,2,2
447,0,1
449,0,1
451,2,1
452,1,0
453,1,0
455,2,2
457,0,1
459,1,0
461,1,0
462,1,0
463,2,2
464,1,0
465,1,0
466,2,2
