,cluster,cluster_fixed
0,1,2
1,1,2
2,2,1
4,1,2
5,1,2
6,2,1
7,2,1
8,0,0
9,2,1
10,0,0
11,2,1
12,2,1
13,1,2
14,1,2
15,0,0
17,0,0
18,0,0
19,1,2
21,1,2
22,1,0
23,1,2
24,0,0
28,0,0
29,1,2
30,0,0
31,0,0
32,2,1
33,1,2
34,1,0
35,2,1
36,1,2
37,0,0
38,2,1
39,2,1
40,1,2
41,1,2
42,2,1
43,2,1
44,2,1
45,2,1
46,1,1
47,1,2
48,2,1
49,2,1
50,2,1
51,2,1
52,0,0
53,0,0
54,1,2
55,1,2
56,1,1
57,1,1
58,2,1
59,2,1
60,2,1
61,0,0
62,1,2
63,0,0
65,1,2
66,1,2
67,2,1
68,1,2
69,1,2
70,1,2
71,2,1
72,2,1
73,1,2
74,1,2
75,2,1
76,2,1
77,2,1
78,2,1
79,2,1
80,2,1
81,2,1
82,0,0
83,0,0
85,2,1
86,1,2
87,2,1
88,0,0
90,2,1
91,0,0
92,1,2
93,2,1
94,0,0
95,1,1
96,2,1
97,2,1
99,1,2
100,2,1
101,2,1
102,2,1
103,2,1
104,2,1
105,2,1
106,2,1
107,2,1
108,2,1
109,1,2
111,1,2
112,0,0
113,1,2
114,1,2
116,2,1
117,1,2
118,0,0
119,1,2
120,2,1
121,2,1
122,2,1
123,2,1
124,1,2
125,2,1
126,1,2
127,1,1
128,2,1
129,1,2
130,1,2
131,2,1
132,2,1
133,2,1
134,1,2
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,1,2
150,1,2
151,2,1
152,1,0
153,1,2
154,0,0
155,0,0
156,1,2
157,1,2
158,1,2
159,1,2
160,1,2
161,1,2
162,1,2
163,0,0
165,1,2
168,1,2
169,2,1
170,2,1
171,2,1
172,0,0
173,0,0
174,1,2
175,1,1
176,1,1
177,1,2
178,1,2
179,2,1
180,1,2
181,2,1
182,1,2
183,1,2
184,2,1
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
194,0,0
195,1,2
196,2,1
197,1,1
198,2,1
199,1,1
201,0,0
202,0,0
203,0,0
204,1,2
205,0,0
206,2,1
207,1,2
208,0,0
211,0,0
212,0,0
213,0,0
216,0,0
218,0,0
219,1,1
220,1,2
221,0,0
222,1,2
223,1,2
224,2,1
225,2,1
226,2,1
227,1,2
228,0,0
229,1,2
230,1,2
231,2,1
232,1,2
233,2,1
235,1,2
236,1,2
239,1,2
240,1,2
241,2,1
242,2,1
243,1,2
244,1,2
245,1,2
246,1,2
247,1,2
248,1,2
249,1,2
250,0,0
251,2,1
252,2,1
253,2,1
254,2,1
255,2,1
256,1,2
257,1,2
258,1,2
259,1,2
260,0,0
261,1,2
262,2,1
263,2,1
264,2,1
265,2,1
266,2,1
268,2,1
269,2,1
270,2,1
271,1,1
272,0,0
273,0,0
274,0,0
275,1,0
276,2,1
277,2,1
278,2,1
279,0,0
280,0,0
281,0,0
283,2,1
284,0,0
285,0,0
286,0,0
287,2,1
288,0,0
290,1,2
291,0,0
292,2,1
293,1,0
294,2,1
295,2,1
296,2,1
297,0,0
298,0,0
300,0,0
301,2,1
302,0,0
303,0,0
304,2,1
307,2,1
308,2,1
309,2,1
310,2,1
311,1,2
312,1,2
313,1,2
314,2,1
316,2,1
317,1,2
318,2,1
319,1,2
320,2,1
322,1,1
323,2,1
324,2,1
326,1,2
327,2,1
328,1,0
329,2,1
331,0,0
332,2,1
333,0,0
334,1,1
335,0,0
338,1,2
339,1,2
340,2,1
341,1,2
342,2,1
343,2,1
344,0,0
345,1,2
346,0,0
347,1,2
348,1,2
349,0,0
350,2,1
351,2,1
352,1,1
353,1,2
354,0,0
355,0,0
356,2,1
357,2,1
358,0,0
359,1,2
360,1,1
361,1,2
362,1,2
363,1,0
364,2,1
365,1,2
366,0,0
367,2,1
368,2,1
369,0,0
370,0,0
374,1,2
375,2,1
376,1,2
377,0,0
378,1,0
379,0,0
380,0,0
381,0,0
382,2,1
383,2,1
384,1,2
386,0,0
387,2,1
389,2,1
390,2,1
391,1,0
392,2,1
396,1,2
397,1,2
398,2,1
401,2,1
402,1,2
403,1,2
404,1,2
405,0,0
406,1,2
407,2,1
408,0,0
409,0,0
411,1,2
412,2,1
413,1,0
414,2,1
415,2,1
416,2,1
417,2,1
418,0,0
419,2,1
420,0,0
422,2,1
423,1,2
425,2,1
426,1,2
427,2,1
428,1,2
429,0,0
430,0,0
431,1,2
432,2,1
433,1,2
434,0,0
435,2,1
437,2,1
438,0,0
439,1,2
441,1,2
442,1,2
443,2,1
445,2,1
446,1,2
447,2,1
449,2,1
451,1,1
452,0,0
453,0,0
455,2,1
457,1,2
459,0,0
461,0,0
462,0,0
463,1,2
464,0,0
465,0,0
466,1,2
467,0,0
469,1,2
470,2,1
471,1,2
475,0,0
477,2,1
478,0,0
479,1,1
480,2,1
481,0,0
482,2,1
483,2,1
484,2,1
485,2,1
486,2,1
487,1,1
488,2,1
489,1,2
490,2,1
491,2,1
492,2,1
493,1,1
494,2,1
495,1,2
496,2,1
497,2,1
498,2,1
499,2,1
500,1,2
501,1,2
502,1,2
503,2,1
504,2,1
505,1,2
506,1,2
507,1,2
508,2,1
509,1,2
510,2,1
511,1,2
512,1,0
513,2,1
515,1,2
516,2,1
517,1,2
518,2,1
520,2,1
521,0,0
523,0,0
524,1,2
526,1,0
527,1,2
528,2,1
529,1,2
530,0,0
531,1,0
532,1,2
533,0,0
535,0,0
536,0,0
537,1,1
538,1,2
541,1,2
542,1,2
543,0,0
544,1,2
545,0,0
546,0,0
547,0,0
548,2,1
549,0,0
550,0,0
551,0,0
553,0,0
554,2,1
555,1,1
556,2,1
557,2,1
558,1,2
559,1,2
560,2,1
561,0,0
563,1,2
564,2,1
565,2,1
566,2,1
567,1,2
569,2,1
570,2,1
571,2,1
572,2,1
573,0,0
574,2,1
575,2,1
578,1,2
579,2,1
580,2,1
581,2,1
582,2,1
583,0,0
584,2,1
586,2,1
588,0,0
589,1,2
590,0,0
591,1,1
592,2,1
593,2,1
594,1,2
595,1,1
596,1,2
597,0,0
598,2,1
599,2,1
600,2,1
601,2,1
603,1,1
604,2,1
605,2,1
606,2,1
607,0,0
608,2,1
609,2,1
610,2,1
611,2,1
612,1,2
613,1,1
614,1,1
615,1,2
616,2,1
617,1,2
618,1,2
620,1,2
621,2,1
622,2,1
623,1,1
624,1,2
625,0,0
627,0,0
628,1,2
629,1,2
630,1,0
631,2,1
632,1,2
633,1,0
635,1,2
639,2,1
641,0,0
642,0,0
643,2,1
644,0,0
645,0,0
646,1,2
647,2,1
648,0,0
649,1,2
650,0,0
651,1,2
652,2,1
653,2,1
655,0,0
656,0,0
657,2,1
658,2,1
659,2,1
660,2,1
662,2,1
663,0,0
664,1,2
665,0,0
666,1,2
667,0,0
668,1,0
669,1,2
670,0,0
671,2,1
672,2,1
673,1,2
674,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,1,2
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,2,1
692,0,0
693,1,2
694,2,1
695,1,2
696,1,2
697,0,0
699,1,2
700,2,1
702,2,1
703,1,2
704,2,1
705,2,1
706,1,0
707,2,1
708,2,1
709,1,2
710,1,2
711,1,2
712,1,2
713,2,1
714,0,0
715,2,1
716,2,1
717,0,0
719,1,2
720,2,1
721,1,0
722,1,2
723,1,2
724,0,0
725,2,1
727,0,0
728,1,0
729,0,0
731,2,1
732,2,1
733,1,2
734,1,1
735,2,1
736,2,1
737,2,1
740,2,1
741,1,2
742,0,0
743,1,1
744,1,2
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,2,1
753,0,0
754,2,1
755,1,2
756,1,2
757,2,1
758,2,1
