,cluster,cluster_fixed
0,2,1
1,1,1
2,1,1
4,2,1
5,2,2
6,1,1
7,1,1
8,0,0
9,1,1
10,0,0
11,1,1
12,1,1
13,2,1
14,2,2
15,0,0
17,0,0
18,0,0
19,2,1
21,2,1
22,2,0
23,2,2
24,0,0
28,0,0
29,2,2
30,0,0
31,0,0
32,1,1
33,2,2
34,2,1
35,2,2
36,1,1
37,0,0
38,1,1
39,1,1
40,2,2
41,2,1
42,1,1
43,1,1
44,1,1
45,1,1
46,2,1
47,2,1
48,1,1
49,1,1
50,2,2
51,1,1
52,0,0
53,0,0
54,2,2
55,2,1
56,2,1
57,2,1
58,1,1
59,1,1
60,1,1
61,0,0
62,2,0
63,0,0
65,2,2
66,2,2
67,1,1
68,2,2
69,2,1
70,2,1
71,1,1
72,1,1
73,2,2
74,2,2
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,0,0
83,0,0
85,1,1
86,1,1
87,1,1
88,0,0
90,2,2
91,0,0
92,2,2
93,2,1
94,0,0
95,2,1
96,1,1
97,1,1
99,2,2
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,2,1
111,2,2
112,0,0
113,2,2
114,2,1
116,2,2
117,2,1
118,0,0
119,2,2
120,1,1
121,1,1
122,1,1
123,1,1
124,2,2
125,1,1
126,2,1
127,1,1
128,1,1
129,2,2
130,2,2
131,1,1
132,1,1
133,1,1
134,2,2
135,1,1
136,1,1
137,2,2
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,2,2
149,2,2
150,2,2
151,1,1
152,2,1
153,2,2
154,0,0
155,0,0
156,2,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
165,2,2
168,2,1
169,1,1
170,1,1
171,1,1
172,0,0
173,0,0
174,2,2
175,2,1
176,2,1
177,2,2
178,2,2
179,1,1
180,2,1
181,1,1
182,1,1
183,2,2
184,2,2
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
194,0,0
195,2,1
196,1,1
197,1,1
198,1,1
199,1,1
201,0,0
202,0,0
203,0,0
204,2,1
205,0,0
206,1,1
207,2,2
208,0,0
211,0,0
212,0,0
213,0,0
216,0,0
218,0,0
219,2,2
220,2,2
221,0,0
222,1,1
223,2,1
224,2,2
225,2,1
226,1,1
227,2,2
228,0,0
229,2,2
230,2,1
231,1,1
232,2,2
233,1,1
235,2,2
236,1,1
239,2,1
240,2,2
241,1,1
242,1,1
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,1
249,2,2
250,0,0
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,2,2
257,2,2
258,2,2
259,2,2
260,0,0
261,2,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
268,2,1
269,1,1
270,1,1
271,2,1
272,0,0
273,0,0
274,0,0
275,2,1
276,1,1
277,1,1
278,1,1
279,0,0
280,0,0
281,0,0
283,1,1
284,0,0
285,0,0
286,0,0
287,2,2
288,0,0
290,2,2
291,0,0
292,1,1
293,2,2
294,2,2
295,1,1
296,1,1
297,0,0
298,0,0
300,0,0
301,1,1
302,0,0
303,0,0
304,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,2,2
312,2,2
313,2,2
314,1,1
316,2,2
317,2,1
318,2,1
319,2,2
320,2,2
322,2,1
323,1,1
324,1,1
326,2,2
327,2,2
328,2,1
329,1,1
331,0,0
332,1,1
333,0,0
334,2,1
335,0,0
338,2,1
339,2,2
340,1,1
341,2,1
342,2,2
343,1,1
344,0,0
345,2,2
346,0,0
347,2,1
348,2,1
349,0,0
350,1,1
351,2,1
352,2,1
353,2,2
354,0,0
355,0,0
356,1,1
357,1,1
358,0,0
359,2,2
360,2,2
361,2,1
362,2,1
363,2,0
364,2,2
365,2,2
366,0,0
367,2,2
368,1,1
369,0,0
370,0,0
374,1,1
375,1,1
376,2,1
377,0,0
378,2,2
379,0,0
380,0,0
381,0,0
382,2,1
383,1,1
384,2,2
386,0,0
387,1,1
389,1,1
390,2,2
391,2,0
392,1,1
396,2,1
397,2,2
398,2,2
401,1,1
402,2,2
403,2,1
404,2,2
405,0,0
406,2,2
407,2,2
408,0,0
409,0,0
411,2,1
412,2,2
413,2,1
414,1,1
415,1,1
416,1,1
417,1,1
418,0,0
419,1,1
420,0,0
422,1,1
423,2,1
425,1,1
426,2,2
427,1,1
428,2,2
429,0,0
430,0,0
431,2,2
432,1,1
433,2,1
434,0,0
435,1,1
437,1,1
438,0,0
439,2,2
441,1,1
442,2,2
443,2,2
445,1,1
446,2,2
447,1,1
449,2,2
451,2,1
452,0,0
453,0,0
455,1,1
457,2,1
459,0,0
461,0,0
462,0,0
463,2,2
464,0,0
465,0,0
466,2,1
467,0,0
469,2,1
470,1,1
471,2,1
475,0,0
477,1,1
478,0,0
479,2,1
480,1,1
481,0,0
482,1,1
483,1,1
484,1,1
485,1,1
486,1,1
487,2,1
488,1,1
489,2,1
490,1,1
491,1,1
492,1,1
493,2,1
494,1,1
495,2,2
496,1,1
497,2,2
498,1,1
499,1,1
500,2,2
501,2,2
502,2,1
503,1,1
504,1,1
505,2,1
506,2,2
507,2,1
508,2,2
509,2,1
510,1,1
511,2,1
512,2,1
513,1,1
515,2,1
516,1,1
517,2,1
518,1,1
520,1,1
521,0,0
523,0,0
524,2,2
526,2,2
527,2,2
528,2,2
529,1,1
530,0,0
531,2,1
532,2,2
533,0,0
535,0,0
536,0,0
537,2,1
538,2,1
541,1,1
542,2,1
543,0,0
544,2,1
545,0,0
546,0,0
547,0,0
548,1,1
549,0,0
550,0,0
551,0,0
553,0,0
554,1,1
555,2,1
556,1,1
557,1,1
558,2,2
559,1,1
560,2,1
561,0,0
563,1,1
564,1,1
565,1,1
566,1,1
567,2,2
569,1,1
570,1,1
571,1,1
572,1,1
573,0,0
574,1,1
575,1,1
578,2,1
579,2,2
580,1,1
581,1,1
582,1,1
583,0,0
584,1,1
586,1,1
588,0,0
589,2,1
590,0,0
591,2,1
592,1,1
593,1,1
594,2,2
595,2,1
596,2,2
597,0,0
598,1,1
599,1,1
600,1,1
601,1,1
603,2,1
604,1,1
605,1,1
606,1,1
607,0,0
608,1,1
609,1,1
610,1,1
611,2,1
612,2,2
613,2,1
614,2,1
615,2,1
616,2,2
617,1,1
618,2,2
620,2,2
621,1,1
622,1,1
623,2,1
624,2,2
625,0,0
627,0,0
628,2,2
629,2,2
630,2,1
631,2,2
632,2,1
633,2,2
635,2,2
639,2,2
641,0,0
642,2,2
643,2,2
644,0,0
645,0,0
646,2,1
647,1,1
648,0,0
649,1,1
650,0,0
651,2,1
652,2,1
653,1,1
655,0,0
656,0,0
657,1,1
658,1,1
659,1,1
660,1,1
662,2,2
663,0,0
664,2,1
665,0,0
666,2,1
667,0,0
668,2,1
669,2,2
670,0,0
671,2,2
672,1,1
673,2,1
674,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,2,1
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,2,2
692,0,0
693,2,2
694,2,2
695,2,2
696,2,1
697,0,0
699,2,1
700,2,2
702,1,1
703,2,1
704,1,1
705,1,1
706,2,1
707,1,1
708,2,2
709,2,2
710,2,2
711,2,2
712,2,2
713,1,1
714,2,1
715,1,1
716,1,1
717,0,0
719,2,1
720,1,1
721,2,2
722,2,1
723,2,2
724,0,0
725,2,2
727,0,0
728,2,1
729,0,0
731,1,1
732,1,1
733,2,2
734,2,1
735,1,1
736,1,1
737,1,1
740,2,2
741,1,1
742,0,0
743,2,1
744,1,1
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,1,1
753,2,1
754,2,2
755,2,2
756,2,2
757,2,1
758,1,1
759,1,1
760,1,1
761,1,1
762,0,0
763,0,0
767,2,1
768,1,1
769,2,2
770,1,1
771,2,2
772,2,1
773,2,1
774,0,0
775,2,2
776,1,1
777,2,1
778,2,1
780,1,1
783,2,1
784,2,2
785,2,1
786,1,1
787,2,2
788,0,0
789,2,1
790,1,1
792,2,2
793,0,0
794,1,1
796,2,2
798,2,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,1,1
806,1,1
807,0,0
808,2,2
810,2,1
811,0,0
812,2,2
813,1,1
814,1,1
815,0,0
818,0,0
819,1,1
820,0,0
821,0,0
822,2,0
823,0,0
824,2,2
825,2,1
826,2,2
827,2,2
828,1,1
829,2,1
830,1,1
831,1,1
832,1,1
833,1,1
834,2,1
835,2,2
836,2,1
837,2,1
838,2,2
839,2,1
841,2,2
842,2,2
843,0,0
845,0,0
846,0,0
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
853,1,1
855,1,1
856,1,1
857,1,1
858,1,1
859,0,0
860,0,0
861,2,2
862,1,1
863,0,0
864,2,1
865,0,0
866,2,2
867,2,2
868,0,0
869,0,0
870,0,0
871,0,0
874,1,1
875,1,1
876,0,0
877,0,0
878,2,2
879,2,2
880,1,1
881,2,2
882,0,0
883,1,1
884,0,0
885,0,0
886,0,0
887,2,2
888,1,1
889,1,1
890,1,1
891,2,2
893,2,2
894,0,0
895,2,2
897,2,2
898,0,0
899,2,1
900,0,0
901,2,1
902,2,2
903,2,2
904,1,1
905,0,0
906,0,0
907,0,0
908,2,1
909,2,2
910,2,1
911,2,2
912,2,2
913,1,1
915,2,1
916,1,1
917,0,0
918,2,1
920,1,1
921,1,1
923,2,0
924,2,1
925,1,1
926,1,1
927,0,0
928,2,2
929,2,2
930,2,2
931,2,2
932,2,2
933,0,0
934,0,0
935,0,0
936,0,0
938,0,0
939,2,1
941,2,2
942,1,1
943,0,0
944,2,1
945,2,1
948,2,1
949,0,0
950,1,1
954,2,1
955,2,2
956,2,2
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,1,1
964,1,1
966,2,2
967,2,1
968,2,2
969,2,1
970,2,2
971,2,1
972,2,2
974,0,0
975,0,0
976,0,0
977,2,2
978,2,2
979,0,0
980,0,0
981,1,1
982,1,1
983,2,2
984,0,0
985,2,2
986,0,0
987,0,0
988,2,2
989,0,0
990,2,1
991,1,1
992,2,2
993,1,1
994,2,2
995,2,1
997,1,1
998,2,2
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,1,1
1005,2,1
1006,0,0
1007,0,0
1008,1,1
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,2,1
1014,0,0
1015,0,0
1016,2,2
1017,2,2
1018,2,0
1019,2,2
1020,1,1
1022,0,0
1023,0,0
1024,1,1
1025,0,0
1026,2,1
1027,0,0
1028,0,0
1029,2,2
1030,0,0
1031,0,0
1032,2,1
1033,2,1
1034,2,1
1035,1,1
1036,2,1
1037,2,1
1038,1,1
1039,2,1
1040,1,1
1041,1,1
1042,1,1
1043,2,2
1044,1,1
1045,1,1
1046,1,1
1047,2,2
1048,0,0
1049,0,0
1052,0,0
1053,2,2
1054,2,2
1055,0,0
1056,2,1
