,cluster,cluster_fixed
0,1,1
1,1,1
2,1,1
4,1,1
5,3,2
6,1,1
7,1,1
8,2,0
9,1,1
10,2,0
11,1,1
12,1,1
13,1,1
14,3,2
15,2,0
17,2,0
18,2,0
19,0,1
21,3,2
22,3,0
23,3,2
24,2,0
28,2,0
29,3,2
30,2,0
31,2,0
32,1,1
33,3,2
34,0,1
35,3,2
36,1,1
37,2,0
38,3,2
39,1,1
40,3,2
41,0,1
42,1,1
43,0,1
44,1,1
45,1,1
46,3,1
47,1,1
48,1,1
49,1,1
50,3,2
51,1,1
52,2,0
53,2,0
54,3,2
55,1,1
56,3,1
57,3,1
58,1,1
59,1,1
60,1,1
61,2,0
62,3,2
63,2,0
65,3,2
66,3,2
67,1,1
68,3,1
69,1,1
70,1,1
71,1,1
72,1,1
73,3,2
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,2,0
83,2,0
85,1,1
86,3,2
87,0,1
88,2,0
90,1,1
91,2,0
92,3,2
93,3,2
94,2,0
95,3,1
96,1,1
97,1,1
99,3,2
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
111,3,2
112,2,0
113,3,2
114,3,1
116,0,1
117,0,1
118,2,0
119,3,2
120,0,1
121,0,1
122,1,1
123,1,1
124,1,1
125,1,1
126,0,1
127,3,1
128,1,1
129,3,2
130,3,2
131,1,1
132,1,1
133,0,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,3,2
149,3,2
150,3,2
151,0,1
152,3,2
153,3,2
154,2,0
155,2,0
156,3,2
157,3,2
158,3,2
159,3,2
160,3,2
161,3,2
162,3,2
163,3,2
165,1,1
168,1,1
169,1,1
170,3,2
171,0,1
172,2,0
173,2,0
174,3,2
175,3,1
176,3,1
177,2,0
178,0,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,0,1
186,2,0
187,2,0
188,2,0
189,2,0
190,2,0
194,2,0
195,3,2
196,1,1
197,3,1
198,1,1
199,3,1
201,2,0
202,2,0
203,2,0
204,1,1
205,2,0
206,1,1
207,3,2
208,2,0
211,2,0
212,2,0
213,2,0
216,2,0
218,2,0
219,3,1
220,3,2
221,2,0
222,1,1
223,1,1
224,1,1
225,1,1
226,3,2
227,3,2
228,2,0
229,3,2
230,0,1
231,0,1
232,3,2
233,1,1
235,3,2
236,0,1
239,3,1
240,1,1
241,3,2
242,3,2
243,3,2
244,3,2
245,3,2
246,3,2
247,3,2
248,3,2
249,3,2
250,2,0
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,3,2
257,3,2
258,3,2
259,3,0
260,2,0
261,0,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
268,1,1
269,1,1
270,1,1
271,3,1
272,2,0
273,2,0
274,2,0
275,3,2
276,1,1
277,1,1
278,1,1
279,2,0
280,2,0
281,2,0
283,1,1
284,2,0
285,2,0
286,2,0
287,3,2
288,2,0
290,3,2
291,2,0
292,1,1
293,1,1
294,0,1
295,1,1
296,1,1
297,2,0
298,2,0
300,2,0
301,1,1
302,2,0
303,2,0
304,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,3,2
312,3,2
313,3,2
314,1,1
316,1,1
317,3,1
318,1,1
319,3,2
320,1,1
322,1,1
323,1,1
324,0,1
326,3,2
327,3,2
328,1,1
329,1,1
331,2,0
332,1,1
333,2,0
334,3,1
335,2,0
338,2,0
339,2,0
340,1,1
341,1,1
342,3,2
343,1,1
344,2,0
345,3,2
346,2,0
347,1,1
348,1,1
349,2,0
350,1,1
351,3,1
352,3,1
353,1,1
354,2,0
355,2,0
356,1,1
357,1,1
358,2,0
359,3,2
360,3,2
361,3,0
362,3,1
363,3,0
364,1,1
365,3,2
366,2,0
367,1,1
368,1,1
369,2,0
370,2,0
374,0,1
375,1,1
376,1,1
377,2,0
378,2,0
379,2,0
380,2,0
381,2,0
382,1,1
383,3,2
384,1,1
386,2,0
387,1,1
389,1,1
390,3,2
391,3,0
392,1,1
396,3,2
397,3,2
398,1,1
401,0,1
402,3,2
403,3,2
404,3,2
405,2,0
406,3,2
407,0,1
408,2,0
409,2,0
411,1,1
412,1,1
413,1,1
414,0,1
415,0,1
416,0,1
417,0,1
418,2,0
419,1,1
420,2,0
422,0,1
423,3,0
425,0,1
426,2,0
427,1,1
428,3,2
429,2,0
430,2,0
431,3,2
432,0,1
433,1,1
434,2,0
435,1,1
437,1,1
438,2,0
439,3,2
441,1,1
442,3,2
443,1,1
445,1,1
446,3,2
447,0,1
449,1,1
451,3,1
452,2,0
453,2,0
455,1,1
457,0,1
459,2,0
461,2,0
462,2,0
463,3,2
464,2,0
465,2,0
466,3,2
467,2,0
469,3,2
470,1,1
471,3,2
475,2,0
477,0,1
478,2,0
479,3,1
480,0,1
481,2,0
482,0,1
483,1,1
484,1,1
485,1,1
486,1,1
487,3,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,3,1
494,1,1
495,3,2
496,1,1
497,1,1
498,1,1
499,0,1
500,3,2
501,1,1
502,3,2
503,1,1
504,1,1
505,1,1
506,3,2
507,3,2
508,3,2
509,1,1
510,1,1
511,1,1
512,0,1
513,1,1
515,3,2
516,1,1
517,1,1
518,1,1
520,0,1
521,2,0
523,3,0
524,3,2
526,3,1
527,3,2
528,1,1
529,1,1
530,2,0
531,1,1
532,3,2
533,2,0
535,2,0
536,2,0
537,3,1
538,3,2
541,1,1
542,3,2
543,2,0
544,3,1
545,2,0
546,2,0
547,2,0
548,0,1
549,2,0
550,2,0
551,3,2
553,2,0
554,1,1
555,3,1
556,1,1
557,1,1
558,3,2
559,1,1
560,1,1
561,2,0
563,1,1
564,0,1
565,0,1
566,0,1
567,3,2
569,3,2
570,1,1
571,1,1
572,1,1
573,2,0
574,1,1
575,0,1
578,3,2
579,1,1
580,1,1
581,1,1
582,1,1
583,2,0
584,0,1
586,0,1
588,2,0
589,3,1
590,2,0
591,3,1
592,0,1
593,1,1
594,3,2
595,3,1
596,3,2
597,2,0
598,0,1
599,0,1
600,1,1
601,0,1
603,3,1
604,1,1
605,1,1
606,1,1
607,2,0
608,1,1
609,3,2
610,0,1
611,1,1
612,3,2
613,3,1
614,3,1
615,1,1
616,1,1
617,1,1
618,1,1
620,3,2
621,0,1
622,1,1
623,3,1
624,3,2
625,2,0
627,2,0
628,3,2
629,3,2
630,1,1
631,1,1
632,3,2
633,3,0
635,3,2
639,3,2
641,2,0
642,1,1
643,3,2
644,2,0
645,2,0
646,1,1
647,1,1
648,2,0
649,0,1
650,2,0
651,0,1
652,3,2
653,3,2
655,2,0
656,2,0
657,1,1
658,1,1
659,1,1
660,1,1
662,1,1
663,2,0
664,3,2
665,2,0
666,1,1
667,2,0
668,1,1
669,3,2
670,2,0
671,1,1
672,3,2
673,3,2
674,2,0
676,2,0
677,2,0
678,2,0
679,2,0
680,1,1
685,2,0
686,2,0
687,2,0
688,2,0
689,2,0
690,2,0
691,3,2
692,2,0
693,3,2
694,1,1
695,0,1
696,0,1
697,2,0
699,1,1
700,1,1
702,0,1
703,3,2
704,1,1
705,1,1
706,0,1
707,0,1
708,1,1
709,3,2
710,3,2
711,1,1
712,3,2
713,3,2
714,2,0
715,1,1
716,1,1
717,2,0
719,1,1
720,1,1
721,3,2
722,1,1
723,3,2
724,2,0
725,0,1
727,2,0
728,3,2
729,2,0
731,1,1
732,1,1
733,3,2
734,3,1
735,1,1
736,1,1
737,1,1
740,1,1
741,3,2
742,2,0
743,3,1
744,1,1
745,1,1
746,2,0
747,2,0
748,2,0
749,2,0
750,2,0
751,2,0
752,1,1
753,2,0
754,1,1
755,1,1
756,3,2
757,1,1
758,1,1
759,1,1
760,1,1
761,1,1
762,2,0
763,2,0
767,1,1
768,1,1
769,1,1
770,0,1
771,3,2
772,3,2
773,3,2
774,2,0
775,1,1
776,1,1
777,3,2
778,3,2
780,2,0
783,3,2
784,3,2
785,3,2
786,0,1
787,3,2
788,2,0
789,1,1
790,1,1
792,3,2
793,2,0
794,1,1
796,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,1,1
803,1,1
804,1,1
805,1,1
806,1,1
807,2,0
808,3,1
810,1,1
811,2,0
812,1,1
813,0,1
814,0,1
815,2,0
818,2,0
819,1,1
820,2,0
821,2,0
822,3,0
823,2,0
824,1,1
825,3,2
826,3,2
827,3,2
828,0,1
829,3,2
830,0,1
831,1,1
832,1,1
833,0,1
834,1,1
835,3,2
836,3,2
837,3,2
838,3,2
839,3,2
841,3,2
842,3,2
843,2,0
845,2,0
846,2,0
848,0,1
849,1,1
850,1,1
851,1,1
852,1,1
853,1,1
855,1,1
856,1,1
857,1,1
858,1,1
859,2,0
860,2,0
861,3,2
862,1,1
863,2,0
864,1,1
865,2,0
866,1,1
867,3,2
868,2,0
869,2,0
870,2,0
871,2,0
874,1,1
875,1,1
876,2,0
877,2,0
878,3,2
879,3,2
880,1,1
881,3,2
882,2,0
883,1,1
884,2,0
885,2,0
886,2,0
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
893,3,2
894,2,0
895,3,2
897,3,2
898,2,0
899,3,2
900,2,0
901,3,2
902,3,2
903,3,2
904,1,1
905,2,0
906,2,0
907,2,0
908,3,2
909,3,2
910,3,2
911,3,2
912,0,1
913,1,1
915,1,1
916,1,1
917,2,0
918,3,1
920,0,1
921,0,1
923,3,2
924,3,2
925,1,1
926,1,1
927,2,0
928,3,2
929,1,1
930,3,2
931,3,2
932,3,2
933,2,0
934,2,0
935,2,0
936,2,0
938,2,0
939,0,1
941,1,1
942,3,2
943,2,0
944,3,1
945,2,0
948,1,1
949,2,0
950,1,1
954,1,1
955,3,2
956,3,2
957,2,0
958,2,0
959,2,0
960,2,0
961,2,0
962,2,0
963,1,1
964,1,1
966,3,2
967,1,1
968,0,1
969,1,1
970,3,2
971,1,1
972,1,1
974,2,0
975,2,0
976,2,0
977,3,2
978,1,1
979,2,0
980,2,0
981,1,1
982,1,1
983,3,2
984,2,0
985,1,1
986,2,0
987,2,0
988,3,2
989,2,0
990,1,1
991,1,1
992,3,2
993,1,1
994,3,2
995,3,2
997,0,1
998,0,1
1000,2,0
1001,2,0
1002,2,0
1003,2,0
1004,1,1
1005,1,1
1006,2,0
1007,2,0
1008,1,1
1009,2,0
1010,2,0
1011,2,0
1012,2,0
1013,1,1
1014,2,0
1015,2,0
1016,0,1
1017,3,2
1018,3,2
1019,0,1
1020,0,1
1022,2,0
1023,2,0
1024,1,1
1025,2,0
1026,3,1
1027,2,0
1028,2,0
1029,3,2
1030,2,0
1031,2,0
1032,3,1
1033,3,1
1034,3,1
1035,1,1
1036,3,2
1037,3,1
1038,0,1
1039,3,2
1040,0,1
1041,0,1
1042,1,1
1043,3,2
1044,1,1
1045,1,1
1046,1,1
1047,3,1
1048,2,0
1049,2,0
1052,2,0
1053,3,2
1054,3,1
1055,2,0
1056,3,2
1057,3,2
1058,2,0
1059,2,0
1060,1,1
1061,2,0
1062,1,1
1063,1,1
1064,1,1
1065,1,1
1066,2,0
1067,0,1
1068,2,0
1069,1,1
1070,3,2
1071,3,2
1072,1,1
1073,1,1
1074,0,1
1075,3,2
1076,3,2
1077,1,1
1078,1,1
1079,1,1
1080,3,2
1081,2,0
1082,2,0
1083,3,2
1084,1,1
1085,1,1
1087,3,2
1088,3,2
1089,3,2
1090,0,1
1091,0,1
1092,1,1
1093,1,1
1094,2,0
1095,2,0
1096,2,0
1097,1,1
1098,0,1
1099,1,1
1100,2,0
1102,1,1
1103,3,2
1104,3,2
1105,2,0
1106,1,1
1108,2,0
1109,2,0
1111,3,2
1112,2,0
1113,1,1
1114,1,1
1115,3,2
1116,1,1
1117,2,0
1118,2,0
1119,3,2
1120,3,0
1121,1,1
1122,2,0
1123,1,1
1124,3,2
1125,1,1
1126,3,2
1127,3,2
1131,1,1
1132,0,1
1133,1,1
1134,3,2
1135,1,1
1136,1,1
1137,1,1
1138,2,0
1139,2,0
1140,3,2
1141,2,0
1143,2,0
1145,3,2
1146,2,0
1147,3,2
1148,1,1
1149,2,0
1150,3,2
1151,2,0
1152,2,0
1153,3,2
1154,3,2
1155,3,2
1156,1,1
1157,1,1
1158,2,0
1159,3,2
1160,1,1
1161,1,1
1162,2,0
1166,3,2
1167,3,2
1168,2,0
1169,1,1
1170,3,2
1171,1,1
1172,1,1
1173,2,0
1174,3,2
1175,1,1
1176,1,1
1177,1,1
1178,2,0
1179,1,1
1180,1,1
1181,3,2
1182,3,2
1183,1,1
1184,2,0
1185,1,1
1186,1,1
1187,0,1
1189,2,0
1190,1,1
1191,3,2
1192,1,1
1193,3,2
1194,1,1
1195,1,1
1196,1,1
1197,2,0
1199,2,0
1200,2,0
1201,2,0
1202,1,1
1203,3,0
1204,3,0
1205,3,0
1206,2,0
1207,2,0
1212,1,1
1213,2,0
1214,1,1
1215,2,0
1216,2,0
1217,1,1
1218,1,1
1219,1,1
1222,0,1
1223,1,1
1226,2,0
1227,2,0
1228,0,1
1229,1,1
1230,0,1
1231,2,0
1232,2,0
1233,1,1
1234,1,1
1235,2,0
1237,2,0
1238,2,0
1239,0,1
1240,2,0
1241,1,1
1242,1,1
1243,2,0
1244,1,1
1245,1,1
1246,1,1
1247,3,2
1248,3,2
1249,1,1
1250,1,1
1251,1,1
1252,1,1
1253,3,2
1254,1,1
1256,1,1
1257,1,1
1258,2,0
1259,2,0
1260,2,0
1261,1,1
1262,1,1
1263,2,0
1264,2,0
1265,2,0
1266,1,1
1267,0,1
1268,3,2
1269,1,1
1270,1,1
1271,1,1
1272,2,0
1273,2,0
1274,2,0
1275,2,0
1276,2,0
1277,3,0
1279,2,0
1280,2,0
1281,2,0
1282,2,0
1283,3,2
1284,1,1
1285,1,1
1286,1,1
1287,3,2
1288,2,0
1289,3,2
1290,2,0
1291,1,1
1292,1,1
1293,0,1
1294,0,1
1295,2,0
1297,1,1
1298,0,1
1299,1,1
1300,1,1
1301,2,0
1303,3,1
1304,1,1
1305,0,1
1306,2,0
1307,2,0
1308,2,0
1309,3,2
1310,1,1
1312,2,0
1313,1,1
1314,1,1
1315,1,1
1316,3,2
1317,2,0
1319,1,1
1320,2,0
1321,3,0
1322,1,1
1323,1,1
1324,2,0
1325,1,1
1326,2,0
1327,2,0
1328,3,2
1331,2,0
1332,2,0
1334,3,2
1335,1,1
1337,3,2
1338,1,1
1339,1,1
1340,2,0
1341,1,1
1342,1,1
1343,0,1
1344,1,1
1345,1,1
1346,2,0
1347,1,1
1348,2,0
1349,2,0
1350,3,2
1351,0,1
1352,1,1
1354,3,2
1355,3,2
1356,3,2
1357,3,2
1358,2,0
1359,2,0
1362,3,2
1363,2,0
1364,1,1
1365,3,2
1366,1,1
1367,0,1
1368,0,1
1369,1,1
1370,3,2
1371,0,1
1372,0,1
1373,3,1
1376,0,1
1377,2,0
1378,1,1
1379,1,1
1381,2,0
1382,3,2
1383,2,0
1384,1,1
1385,0,1
1386,1,1
1387,1,1
1388,2,0
1389,2,0
1390,2,0
1391,0,1
1392,0,1
1393,3,2
1394,0,1
1395,2,0
1396,2,0
1398,2,0
1399,1,1
1401,2,0
1402,2,0
1403,1,1
1404,1,1
1405,1,1
1406,1,1
1407,1,1
1409,1,1
1410,3,2
1411,3,2
1412,1,1
1413,1,1
1414,3,2
1415,1,1
1416,0,1
1417,1,1
1418,1,1
1419,2,0
1420,3,1
1421,1,1
1427,1,1
1428,1,1
1429,1,1
1430,1,1
1431,3,0
1434,1,1
1435,1,1
1436,3,2
1437,1,1
1438,3,2
1439,3,2
1440,1,1
1441,2,0
1442,1,1
1443,3,2
1444,0,1
1446,3,2
1447,3,2
1448,1,1
1449,1,1
1450,1,1
1451,2,0
1454,1,1
1455,1,1
1456,2,0
1457,1,1
1458,1,1
1459,3,2
1460,2,0
1461,2,0
1462,2,0
1463,2,0
1464,3,2
1466,3,2
1467,0,1
1468,1,1
1469,0,1
1470,1,1
1471,2,0
1472,0,1
1474,0,1
1475,3,2
1476,0,1
1477,1,1
1478,3,2
1479,0,1
1480,1,1
1481,0,1
1482,3,2
1483,3,2
1484,0,1
1485,1,1
1487,2,0
1488,2,0
1489,1,1
1490,3,2
1491,2,0
1492,1,1
1493,0,1
1496,3,2
1497,1,1
1498,1,1
1499,3,2
1500,3,2
1502,3,2
1504,0,1
1505,3,2
1506,1,1
1507,3,2
1508,0,1
1509,0,1
1513,3,2
1514,1,1
1515,2,0
1516,2,0
1517,2,0
1518,1,1
1519,1,1
1520,0,1
1521,3,2
1522,1,1
1523,1,1
1524,3,2
1525,2,0
1526,2,0
1527,2,0
1528,1,1
1529,1,1
1530,1,1
1531,2,0
1532,2,0
1533,3,2
1534,2,0
1535,2,0
1536,1,1
1537,1,1
1538,1,1
1539,1,1
1540,1,1
1541,1,1
