method,cluster,core_jaccard
Mean,0,0.6274466068888128
Mean,1,0.6298897572735612
Mean,2,0.6331148435229745
Mean,3,0.6281549106817761
KNN,0,0.6315610438024231
KNN,1,0.6132699300159352
KNN,2,0.5427112503215215
KNN,3,0.6122896563503717
MICE,0,0.6299272932174533
MICE,1,0.6228598105665063
MICE,2,0.46734877908120914
MissForest,0,0.6314230711830873
MissForest,1,0.5430887749230703
MissForest,2,0.5364159200453983
PMM,0,0.6218569164175043
PMM,1,0.6293551112288136
PMM,2,0.6306015503860787
PMM,3,0.5799912306485391
EM,0,0.6295122784895442
EM,1,0.5800258112960265
EM,2,0.4446295946277379
EM,3,0.3832510945073973
SoftImpute,0,0.6313153173395429
SoftImpute,1,0.6250735076849799
SoftImpute,2,0.5989993308491122
SoftImpute,3,0.585795236963214
NMF,0,0.6312951205029009
NMF,1,0.5573180072814474
NMF,2,0.5620343859834768
DAE,0,0.6302087070737776
DAE,1,0.5645737310622869
DAE,2,0.6130905287448734
DAE,3,0.4896674690534874
DAE,4,0.5315460416683421
VAE,0,0.621324874806971
VAE,1,0.6306932277876071
VAE,2,0.5762645748097408
VAE,3,0.5736252753919873
