Variable,Domain,N_Observed,N_Missing,Missing_Pct
OESPAI,Orientation,17282,124,0.7
OPERSONA,Orientation,17284,122,0.7
OTEMPS,Orientation,17286,120,0.7
ASPAN,Attention,15611,1795,10.3
MRAVLT075,Memory,15523,1883,10.8
MDIGITS,Memory,15373,2033,11.7
FEPMR,Executive Function,14682,2724,15.6
LCOMPRENSIOTB,Language,14686,2720,15.6
LDENOMINACIOTB,Language,14677,2729,15.7
LREPETICIOTB,Language,14634,2772,15.9
MRAVLT015,Memory,14281,3125,18.0
MRAVLT015R,Memory,14199,3207,18.4
VPIMATGES,Visuoperception,12992,4414,25.4
ATMTA,Attention,12575,4831,27.8
